country_code,country_name,year,year_trend,control_corruption,political_stability,rule_of_law,homicide_rate_log,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita_log,inflation,population_log,tourist_arrivals_log,unemployment,rule_of_law_hat,fdi_hat,tourism_hat
DOM,República Dominicana,2010,10,32.4510258,64.9199956,45.6350077,3.265493487207641,22.7751186165488,3.38320513554667,8.40114541209596,8.608609382019452,6.32993220146146,16.09994950094579,15.314687299454793,5.212,45.1916633116546,4.779217940995611,14.406580497512246
DOM,República Dominicana,2011,11,33.542595,64.873245,46.5660671,3.268328639261243,24.3269602141381,3.79217588020774,3.19196227475523,8.670173496523594,5.79676809206533,16.112642911759615,15.35323783771328,6.087,46.22241737502584,4.951669467679498,14.426543780867185
DOM,República Dominicana,2012,12,32.032281,66.4306599,46.8745346,3.157911682364466,24.7666213993906,5.64036946601582,2.77567100848816,8.701815374742651,3.69449707884776,16.125112078161767,15.404950027931656,6.722,46.24096569807403,5.434374181563701,14.468282573428848
DOM,República Dominicana,2013,13,32.2508937,65.7284045,47.6363216,3.0157255472706,25.3838177066263,2.55757225532805,4.93473300709881,8.722025191892458,4.830950967408,16.137293487562335,15.4474926303749,7.351,46.88634971942476,5.752384692750052,14.494771133775426
DOM,República Dominicana,2014,14,32.5615749,66.8331451,49.8492033,2.9202737571408,25.4069026925032,3.55938801753347,7.11122629673892,8.779011409860257,2.99864226125218,16.149160890768336,15.53398241076251,6.719,47.35740916630996,5.8377589922836925,14.507829123294892
DOM,República Dominicana,2016,16,31.7819762,68.5519931,47.7981194,2.792113145181448,24.1938670386292,3.33024928523507,6.71974078681295,8.876326991264788,1.61416607245222,16.17177195372465,15.727864071223042,7.284,47.80680286993302,6.280679540833372,14.549920538089074
DOM,República Dominicana,2017,17,31.6402349,67.4637175,47.3345164,2.517681274662068,24.1797519638034,4.55025610026855,3.93386176401576,8.910952144496719,3.27955694678546,16.18265070320925,15.8028369477977,5.832,47.86455112522297,6.426443330889658,14.558123392018691
DOM,República Dominicana,2018,18,30.7634121,65.9469346,47.5276274,2.389253378535658,23.993089643769,3.22902365102652,7.09751640210159,8.972461565044354,3.56443426013507,16.193393550581742,15.837190695218345,5.861,47.45142532648622,6.606286920187735,14.564454347334392
DOM,República Dominicana,2019,19,31.6185157,66.7744903,48.7017175,2.34353418339092,23.325332586795,3.17366550445317,4.8940301149584,9.009816094639277,1.81060377042959,16.203726684044828,15.83705825367553,6.356,48.26859370080111,6.698307716737929,14.579503549157241
DOM,República Dominicana,2020,20,33.553066,69.9277076,50.4017581,2.275190938390036,18.7972072415048,3.13265976088131,-7.92905234231061,8.872798746320544,3.78103179915516,16.214160091690886,14.82638429622533,6.126,49.68564639556507,6.594080708952145,14.590691747269037
GTM,Guatemala,2000,0,36.4253418,50.2131715,39.7765583,3.251367108834576,20.1950343956927,-4.08835554722306,3.6088687174876,8.06020288035462,5.97757734737136,16.274893566619983,13.624351263156136,2.143,42.306941672492414,2.523867820740911,14.17008353969844
GTM,Guatemala,2002,2,31.6690548,49.2101143,39.2414173,3.422576596955279,26.7262767971618,-4.97449876130187,3.83928708556792,8.075043883077315,8.13263054281054,16.32078462650412,13.69221347284086,2.254,39.979399064348506,3.045877894994309,14.19123229122956
GTM,Guatemala,2003,3,31.4200515,50.1020421,38.6392974,3.5503662639899902,26.1810997164793,0.0903239703402523,2.56037766801896,8.077805570944838,5.60347675434469,16.34330442822457,13.68767832281738,2.807,39.76886853640885,2.9708076708005606,14.186801889657191
