country_code,country_name,year,control_corruption,political_stability,rule_of_law,homicide_rate,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita,inflation,population,tourist_arrivals,unemployment
COL,Colombia,2019,42.3435637,50.4304751,49.1724423,23.3990612924966,15.8680386541241,4.33058240931506,3.18685539245533,6472.54544924705,3.52301932741446,49907985.0,4531000.0,10.28
COL,Colombia,2020,42.6636046,54.2459136,48.6606218,22.6427030734102,13.5222755593302,2.7588942895314,-7.18591413760859,5339.68711357943,2.52663500084706,50629997.0,1396000.0,15.983
COL,Colombia,2021,42.3947687,48.5602739,48.2391764,25.5801274097033,16.1970059548864,3.00175693787234,10.8011981904878,6222.62164397614,3.49505757399448,51188173.0,,13.898
COL,Colombia,2022,42.6648919,52.0722697,47.8491027,24.9488076386337,20.3883679938331,4.97124137726565,7.32827729427979,6680.44506854481,10.1772313546166,51737944.0,,10.541
COL,Colombia,2023,41.6000941,52.2402416,47.2427231,24.9134420347488,17.8316784070298,4.58478761240549,0.712380031974334,7000.83660501046,11.7359044948689,52321152.0,,9.591
CRI,Costa Rica,2000,68.5921845,77.3356885,65.3048916,6.3234257019066,42.9303221707385,4.81846449896273,3.86871808953644,3812.75388284924,10.9615496593622,3937739.0,1278000.0,5.08
CRI,Costa Rica,2002,57.143028,81.7856914,67.3024742,6.33019318130238,39.2245352070616,4.36202694033196,3.41687639041064,4067.71851429092,9.16752048509118,4075705.0,1335000.0,6.396
CRI,Costa Rica,2003,57.622973,76.1467767,66.5482031,7.24850496564873,40.6717129184331,4.48353970316272,4.31717986636224,4173.14856415514,9.44758091616983,4138784.0,1514000.0,6.654
CRI,Costa Rica,2004,55.5280511,77.7265223,66.4836079,6.66654365306355,42.2076534629626,5.8231265333186,4.42459959654504,4431.0117207843,12.3148150178852,4200078.0,1771000.0,6.445
CRI,Costa Rica,2005,55.6495671,80.0237175,67.6124235,7.86156142343543,43.4645223606983,7.62843539507747,3.97666636818026,4703.00721784778,13.7982949108987,4261240.0,1959000.0,6.749
CRI,Costa Rica,2006,55.9348432,80.6908838,66.2066705,8.12248146668412,43.3140351086932,7.92850433097117,7.3266954325067,5256.59640859159,11.4705968149052,4321340.0,2071000.0,5.926
CRI,Costa Rica,2007,57.0957135,79.7853711,66.0464956,8.42418151029137,40.5821375084213,8.33742597856098,8.21513198348715,6137.71199925542,9.35724456417157,4380248.0,2302000.0,4.557
CRI,Costa Rica,2008,57.7269153,75.7933293,66.4427462,11.5313873891892,38.8064606509756,7.90900698278232,4.73817487754022,6937.24261596055,13.4244635507283,4440056.0,2409000.0,4.934
CRI,Costa Rica,2009,60.3773986,78.1993684,67.7552551,11.6672085436857,34.6323050259288,5.25151067245965,-0.873455942787785,6832.69829924138,7.84270167700653,4499791.0,2309000.0,7.824
CRI,Costa Rica,2010,62.0102548,79.4541674,68.1503268,11.5672606575735,32.8294113467273,5.06371170213526,5.36034352634111,8265.78820275582,5.66275708420021,4555962.0,2495000.0,7.171
CRI,Costa Rica,2011,61.1718727,76.6845977,64.9264179,10.282368146525,32.4724708770444,6.39172539644787,4.40315923970431,9276.39107511347,4.87799830970702,4609833.0,2526000.0,9.518
CRI,Costa Rica,2012,61.4268371,77.0920998,64.6597621,8.72653951862736,31.6513173356963,5.70866124854743,4.88259241025739,10126.9991024177,4.49545314354605,4663934.0,2542000.0,9.11
CRI,Costa Rica,2013,61.2814766,77.153462,64.8418686,8.71474107995362,30.5916493612524,6.29127735209415,2.49476611209954,10803.2401962173,5.23133614174428,4716147.0,2641000.0,8.218
CRI,Costa Rica,2014,63.6632595,77.5166561,66.3685302,10.0060434824472,31.3629152835975,6.23293662208767,3.54210987765977,10911.497878334,4.51920098516953,4767119.0,2760000.0,8.499
CRI,Costa Rica,2015,63.4401897,78.6355453,65.935817,11.5607212354156,29.9956578647983,5.23639457671538,3.65208096802883,11714.7105980732,0.801982005099623,4818038.0,2899000.0,8.415
CRI,Costa Rica,2016,64.1176151,78.4171178,65.8170374,11.8759050112518,31.2600963003845,4.45296211770326,4.20432325175899,12091.0301606154,-0.0174788505908217,4866998.0,3204000.0,8.085
CRI,Costa Rica,2017,59.7032522,78.5448694,66.277594,12.2731177810203,32.7626831479863,4.83327522078441,4.1576989627609,12317.0902771304,1.62590692991731,4913177.0,3231000.0,7.729
CRI,Costa Rica,2018,61.0056411,76.735494,65.8900262,11.7995456872358,33.7385107761536,4.829438721344,2.6159044043379,12590.2493781614,2.2211146152658,4957818.0,3313000.0,9.01
CRI,Costa Rica,2019,62.5292538,76.5896171,66.9617832,11.2610056078008,34.3253215593308,4.22094016659811,2.41751181762513,12884.6859951989,2.09604635327807,4999553.0,3366000.0,10.807
CRI,Costa Rica,2020,63.1650182,81.6952443,67.8366858,11.3222838436969,31.9064976578059,3.37043523313038,-4.27335432161462,12394.0493969492,0.724911478131375,5034320.0,1146500.0,16.432
CRI,Costa Rica,2021,59.8166838,83.2688714,67.4710513,11.6205820666553,36.1763570269654,5.53072986406838,7.93576224743147,12838.1185358931,1.72647755109241,5059988.0,,15.139
CRI,Costa Rica,2022,59.3313828,85.4710022,68.4538686,12.908902016219,42.4051961144394,5.4175310653788,4.55149177958398,13625.9008491328,8.27477490232654,5081765.0,,11.325
