country_code,country,year,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita,inflation,population,tourist_arrivals,unemployment
CO,Colombia,2022,20.3883679938331,4.97124137726565,7.32827729427979,6680.44506854481,10.1772313546166,51737944.0,,10.541
CO,Colombia,2023,17.8316784070298,4.58478761240549,0.712380031974334,7000.83660501046,11.7359044948689,52321152.0,,9.591
CO,Colombia,2024,16.0992987183311,3.26725954832527,1.5983315366523,7919.20886825345,6.60908593728228,52886363.0,,9.619
CR,Costa Rica,2000,42.9303221707385,4.81846449896273,3.86871808953644,3812.75388284924,10.9615496593622,3937739.0,1278000.0,5.08
CR,Costa Rica,2001,40.5085725030293,3.89233617537996,3.49116989434005,3985.12984506207,11.2556157091171,4008947.0,1320000.0,6.051
CR,Costa Rica,2002,39.2245352070616,4.36202694033196,3.41687639041064,4067.71851429092,9.16752048509118,4075705.0,1335000.0,6.396
CR,Costa Rica,2003,40.6717129184331,4.48353970316272,4.31717986636224,4173.14856415514,9.44758091616983,4138784.0,1514000.0,6.654
CR,Costa Rica,2004,42.2076534629626,5.8231265333186,4.42459959654504,4431.0117207843,12.3148150178852,4200078.0,1771000.0,6.445
CR,Costa Rica,2005,43.4645223606983,7.62843539507747,3.97666636818026,4703.00721784778,13.7982949108987,4261240.0,1959000.0,6.749
CR,Costa Rica,2006,43.3140351086932,7.92850433097117,7.3266954325067,5256.59640859159,11.4705968149052,4321340.0,2071000.0,5.926
CR,Costa Rica,2007,40.5821375084213,8.33742597856098,8.21513198348715,6137.71199925542,9.35724456417157,4380248.0,2302000.0,4.557
CR,Costa Rica,2008,38.8064606509756,7.90900698278232,4.73817487754022,6937.24261596055,13.4244635507283,4440056.0,2409000.0,4.934
CR,Costa Rica,2009,34.6323050259288,5.25151067245965,-0.873455942787785,6832.69829924138,7.84270167700653,4499791.0,2309000.0,7.824
CR,Costa Rica,2010,32.8294113467273,5.06371170213526,5.36034352634111,8265.78820275582,5.66275708420021,4555962.0,2495000.0,7.171
CR,Costa Rica,2011,32.4724708770444,6.39172539644787,4.40315923970431,9276.39107511347,4.87799830970702,4609833.0,2526000.0,9.518
CR,Costa Rica,2012,31.6513173356963,5.70866124854743,4.88259241025739,10126.9991024177,4.49545314354605,4663934.0,2542000.0,9.11
CR,Costa Rica,2013,30.5916493612524,6.29127735209415,2.49476611209954,10803.2401962173,5.23133614174428,4716147.0,2641000.0,8.218
CR,Costa Rica,2014,31.3629152835975,6.23293662208767,3.54210987765977,10911.497878334,4.51920098516953,4767119.0,2760000.0,8.499
CR,Costa Rica,2015,29.9956578647983,5.23639457671538,3.65208096802883,11714.7105980732,0.801982005099623,4818038.0,2899000.0,8.415
CR,Costa Rica,2016,31.2600963003845,4.45296211770326,4.20432325175899,12091.0301606154,-0.0174788505908217,4866998.0,3204000.0,8.085
CR,Costa Rica,2017,32.7626831479863,4.83327522078441,4.1576989627609,12317.0902771304,1.62590692991731,4913177.0,3231000.0,7.729
CR,Costa Rica,2018,33.7385107761536,4.829438721344,2.6159044043379,12590.2493781614,2.2211146152658,4957818.0,3313000.0,9.01
CR,Costa Rica,2019,34.3253215593308,4.22094016659811,2.41751181762513,12884.6859951989,2.09604635327807,4999553.0,3366000.0,10.807
CR,Costa Rica,2020,31.9064976578059,3.37043523313038,-4.27335432161462,12394.0493969492,0.724911478131375,5034320.0,1146500.0,16.432
CR,Costa Rica,2021,36.1763570269654,5.53072986406838,7.93576224743147,12838.1185358931,1.72647755109241,5059988.0,,15.139
CR,Costa Rica,2022,42.4051961144394,5.4175310653788,4.55149177958398,13625.9008491328,8.27477490232654,5081765.0,,11.325
CR,Costa Rica,2023,38.9156320351491,5.4191807109794,5.11192183224598,16942.0268119375,0.525193508693455,5105525.0,,8.325
CR,Costa Rica,2024,38.5317940509141,5.55680052586902,4.32122429646145,18587.1532203482,-0.412853001047069,5129910.0,,6.936
SV,El Salvador,2000,26.8272702258496,1.47137092746017,1.12790697674419,1982.87093542615,2.27128756828723,5943366.0,867000.0,6.96
SV,El Salvador,2001,25.0092920568115,2.2707041485317,0.879613659882722,2058.04459070452,3.7508205747202,5968060.0,804000.0,6.96
SV,El Salvador,2002,25.5130894550755,3.71125187529755,1.57291844759789,2115.41187355626,1.86552503610077,5986631.0,885000.0,6.2
SV,El Salvador,2003,25.9234207599485,1.06615183714648,1.56539303147618,2207.83089518069,2.1203909173333,5998599.0,798000.0,6.9
SV,El Salvador,2004,25.9062104819237,2.64681242347754,0.889404485692197,2285.68907438892,4.45194392395045,6004671.0,1030000.0,6.8
SV,El Salvador,2005,25.2665668798476,3.47761600217717,2.68083009363194,2447.39140845394,4.69094870903769,6005578.0,1306000.0,7.22
SV,El Salvador,2006,25.9396783352886,1.50707286112592,4.3369986028604,2665.61807194853,4.03712359429612,6002319.0,1501000.0,6.57
SV,El Salvador,2007,25.5670345496495,9.11434743633077,1.84760220587859,2830.65693770733,4.57808572377153,6009824.0,1720000.0,6.41
SV,El Salvador,2008,26.7405871721015,5.0206011155903,2.15440298282768,2983.24829577976,6.70792293515939,6029297.0,1875000.0,5.88
SV,El Salvador,2009,23.9512044914048,2.09486399547314,-2.10876837627522,2910.18651752011,1.05595029731201,6048279.0,1482000.0,7.33
SV,El Salvador,2010,26.9466693264064,-0.613406192808089,2.15419536693635,3040.07300952878,1.17933576873673,6068249.0,1606000.0,4.893
SV,El Salvador,2011,28.9817775582263,0.603930846788838,3.77358499834686,3330.60049486653,5.1289237668161,6090127.0,1634000.0,4.297
SV,El Salvador,2012,28.5710611774443,2.01123945886672,2.88770010188691,3497.91256915509,1.72973481581383,6113975.0,1738000.0,3.843
SV,El Salvador,2013,29.7248960481943,1.11490857279595,2.18295232499635,3582.26694005169,0.757669184522973,6138839.0,1822000.0,3.693
SV,El Salvador,2014,29.5528752334192,2.2408951362935,1.7293998423459,3666.01248913873,1.14134467538233,6162955.0,1886000.0,4.154
SV,El Salvador,2015,29.4861730232304,2.10997804482034,2.40000008852115,3790.34089108162,-0.731384487387957,6183676.0,1973000.0,3.998
SV,El Salvador,2016,28.4585905008509,1.98198031581358,2.53906241135864,3901.34014965811,0.60404908699661,6200800.0,2052000.0,4.418
SV,El Salvador,2017,29.0297643758665,2.01688451540263,2.24761908134138,4020.12671373919,1.0123540331558,6213533.0,2247000.0,4.385
SV,El Salvador,2018,28.9343737810256,1.58620478716365,2.4124442237792,4183.54620971358,1.09033000581892,6219807.0,2536000.0,4.006
SV,El Salvador,2019,29.9559096080003,2.59024369040438,2.43747159065784,4320.11671534627,0.0753241350024612,6222318.0,2639000.0,4.17
SV,El Salvador,2020,24.5267982788944,1.55101998611342,-7.893101359867,3997.19279583709,-0.371590212324095,6234673.0,707000.0,5.008
SV,El Salvador,2021,28.7814953892726,2.7560499827498,11.9047617015957,4642.60743101342,3.46692585313082,6255782.0,,4.327
SV,El Salvador,2022,32.433483149734,0.0823187568481088,2.95461516549889,5074.60210221806,7.19861615609867,6280319.0,,2.999
SV,El Salvador,2023,31.3971431390261,1.89928827474734,3.5391566928735,5365.44491399171,4.04554694222477,6309624.0,,2.992
SV,El Salvador,2024,32.7607043808335,2.61241857793703,2.60202016121069,5579.65969165029,0.853782292567288,6338193.0,,3.261
GT,Guatemala,2000,20.1950343956927,-4.08835554722306,3.6088687174876,3165.9323746889,5.97757734737136,11697592.0,826000.0,2.143
GT,Guatemala,2001,28.6635482851857,-5.088199966054,2.33257486608854,3166.20351297452,7.28587366610138,11969422.0,835000.0,2.251
GT,Guatemala,2002,26.7262767971618,-4.97449876130187,3.83928708556792,3213.26837369582,8.13263054281054,12246915.0,884000.0,2.254
GT,Guatemala,2003,26.1810997164793,0.0903239703402523,2.56037766801896,3222.15468293683,5.60347675434469,12525842.0,880000.0,2.807
GT,Guatemala,2004,27.4194097089723,1.36317570702825,3.13791683609193,3250.20406037693,7.57862247309729,12807402.0,1182000.0,2.971
GT,Guatemala,2005,25.454901513817,2.01617500337249,3.27602692588886,3284.80971612832,9.1086498571922,13087629.0,1316000.0,3.059
GT,Guatemala,2006,25.3398334344627,2.13587522888421,5.35139778711536,3388.15003339926,6.56085282795384,13367459.0,1502000.0,2.96
GT,Guatemala,2007,25.9805176037841,2.55959192771149,6.33771869016203,3527.7782721364,6.82161753590326,13652040.0,1628000.0,2.847
GT,Guatemala,2008,25.1243459208619,1.89952208705823,3.29352400028485,3569.92861121538,11.355761126315,13935174.0,1715000.0,2.898
GT,Guatemala,2009,24.3678264820599,1.34627822535543,0.476898106596394,3516.19227725255,1.85910254733028,14215611.0,1311000.0,3.22
GT,Guatemala,2010,26.2254643341594,2.71030706792051,2.88417542800377,3546.6258162259,3.8595090983316,14500112.0,1384000.0,3.497
GT,Guatemala,2011,27.0677057848772,1.87038244023626,4.16390688293349,3621.37409769184,6.214123930671,14792126.0,1434000.0,3.169
GT,Guatemala,2012,25.267092636425,2.82256297187213,2.97470856847661,3655.57315791242,3.78180754679678,15089647.0,1491000.0,2.765
GT,Guatemala,2013,21.9981664670011,2.87216286478145,3.69481894978053,3717.30462628413,4.34337131279521,15387337.0,1516000.0,3.017
GT,Guatemala,2014,21.7443606885213,2.43302117698753,4.44397783368888,3809.61587570091,3.4183616966296,15681725.0,1739000.0,2.717
GT,Guatemala,2015,19.8299071093932,1.93508794944894,4.09217081621244,3893.50533299068,2.3887203283955,15971743.0,1865000.0,2.506
GT,Guatemala,2016,18.753087949948,1.28045862124744,2.67780277623314,3924.77894837098,4.44844199942827,16268760.0,1906000.0,2.583
GT,Guatemala,2017,18.4950394164293,1.39328931381397,3.07985126948702,3972.74057836068,4.42453655182546,16567357.0,2120000.0,2.462
GT,Guatemala,2018,18.1693258488802,1.25790065429015,3.40687348346576,4040.2121371198,3.75186186704508,16845685.0,2406000.0,2.283
GT,Guatemala,2019,17.6119727745274,1.51707073546928,4.01789785040324,4139.12203836307,3.69998398008605,17103803.0,2560000.0,2.193
GT,Guatemala,2020,16.3436118075967,1.29230382378627,-1.78555175063326,4005.83911593999,3.21444062197345,17357325.0,594000.0,2.965
GT,Guatemala,2021,17.6296569856584,4.19448571319716,8.04170378184928,4268.62858565412,4.26105127422813,17598650.0,,2.174
GT,Guatemala,2022,18.9454999823063,1.51615526851124,4.18451817243695,4385.14891178047,6.88512823344287,17847877.0,,3.051
GT,Guatemala,2023,16.6062377966274,1.58123029170621,3.5331575177533,4470.70728455461,6.20657592272126,18124838.0,,2.344
GT,Guatemala,2024,15.8928719472371,1.63251851384265,3.65186382894819,4563.09590652717,2.86992752918294,18406359.0,,2.613
HN,Honduras,2000,53.972182998888,4.8698431531529,9.61221881702615,1092.56400746252,11.0480349344976,6577773.0,689000.0,3.883
HN,Honduras,2001,51.3817002306282,4.04940697578742,2.72319327321379,1132.1648753329,9.67415556865377,6757993.0,672000.0,4.0
HN,Honduras,2002,52.730582054494,3.6562173778393,3.75433786119939,1132.49965345317,7.69050972034271,6938859.0,788000.0,4.02
HN,Honduras,2003,54.0940274951722,4.74055553954205,4.54703805165397,1156.08162681357,7.67416639397937,7119213.0,887000.0,5.3
HN,Honduras,2004,58.4229834527808,6.67606399673031,6.23230296069102,1215.13995412761,8.1137909709338,7298994.0,1026000.0,5.99
