country_code,country_name,year,gdp_growth,gdp_pred
GTM,Guatemala,2021,8.04170378184928,3.7004895290942317
GTM,Guatemala,2022,4.18451817243695,3.9249065859904286
GTM,Guatemala,2023,3.5331575177533,3.7784816215053185
HND,Honduras,2000,9.61221881702615,4.809654959371595
HND,Honduras,2002,3.75433786119939,4.485032782241324
HND,Honduras,2003,4.54703805165397,4.3933823320961425
HND,Honduras,2004,6.23230296069102,4.6616601300996185
HND,Honduras,2005,6.05059922215973,4.973911016927862
HND,Honduras,2006,6.56724355177587,4.778511367648075
HND,Honduras,2007,6.18832716678008,4.889621938803626
HND,Honduras,2008,4.23160011009342,5.252391091768932
HND,Honduras,2009,-2.43162787988011,3.997873958639569
HND,Honduras,2010,3.73114034433009,4.294842386834751
HND,Honduras,2011,3.83569066207505,4.877862639823079
HND,Honduras,2012,4.12868774866939,4.894963102745744
HND,Honduras,2013,2.79155975746801,4.420541553277446
HND,Honduras,2014,3.0580805621437,4.283120759499128
HND,Honduras,2015,3.84007997093951,3.9817484224780353
HND,Honduras,2016,3.89297219726413,3.7667474315553635
HND,Honduras,2017,4.84291391050387,4.123621193204706
HND,Honduras,2018,3.84499476966735,4.069058504192745
HND,Honduras,2019,2.55963434592314,4.034183341709915
HND,Honduras,2020,-8.96508223267296,2.82524465538122
HND,Honduras,2021,12.5652843771279,3.73268736762675
HND,Honduras,2022,4.14356194013767,4.371412050590938
HND,Honduras,2023,3.57584760454412,4.305832845911108
NIC,Nicaragua,2000,4.10159025073438,1.6472665435442773
NIC,Nicaragua,2002,0.753938876079573,1.213345251971301
NIC,Nicaragua,2003,2.52073289551447,1.4341717031388708
NIC,Nicaragua,2004,5.31217056950739,2.0346874708969134
NIC,Nicaragua,2005,4.28239833770654,2.505633472339194
NIC,Nicaragua,2006,4.15294559846254,2.9973522025215376
NIC,Nicaragua,2007,5.0763520180987,3.471749879941341
NIC,Nicaragua,2008,3.43571693608081,4.281163132489705
NIC,Nicaragua,2009,-3.2926651586197,2.5336086109764695
NIC,Nicaragua,2010,4.41009911716546,3.216878997623259
NIC,Nicaragua,2011,6.31668553491842,4.020655864689853
NIC,Nicaragua,2012,6.4961364710876,4.36468012393873
NIC,Nicaragua,2013,4.92709413447304,4.223992893272892
NIC,Nicaragua,2014,4.78546013589983,4.365223261695223
NIC,Nicaragua,2015,4.79226768332697,3.914069426971884
NIC,Nicaragua,2016,4.56314739524967,3.9661925984847892
NIC,Nicaragua,2017,4.63120757580209,4.266527600066115
NIC,Nicaragua,2018,-3.3633566598573,4.128540704041108
NIC,Nicaragua,2019,-2.89686986728901,4.250817795424402
NIC,Nicaragua,2021,10.454389484408,4.342916425193693
PAN,Panamá,2000,4.2090057360153,5.927928814403738
PAN,Panamá,2002,2.50884408826073,5.493870123479458
PAN,Panamá,2003,5.09686013628365,5.154374967917875
PAN,Panamá,2004,8.1756535098435,5.44617054673131
PAN,Panamá,2005,8.27618322400723,6.2920330236519275
PAN,Panamá,2006,9.8572387394466,6.441322820457949
PAN,Panamá,2007,13.1530653136012,6.960782496426099
PAN,Panamá,2008,10.197432548532,7.841875565937461
PAN,Panamá,2009,1.61186417596689,6.811340248212956
PAN,Panamá,2010,6.07339340909564,7.005232845842188
PAN,Panamá,2011,11.9088772241134,8.138894513713879
PAN,Panamá,2012,9.62729355007232,8.157098760535245
PAN,Panamá,2013,6.32435373509259,7.464214709773086
PAN,Panamá,2014,4.62581384604574,6.679715645597793
PAN,Panamá,2015,5.26691726402875,6.064872703341972
PAN,Panamá,2016,4.57196696307969,5.786035474683408
PAN,Panamá,2017,5.74405946988693,5.782964249491065
PAN,Panamá,2018,3.9181980847881,5.882978189198371
PAN,Panamá,2019,3.10306793272473,5.516032268986284
PAN,Panamá,2020,-17.8212299459324,3.7510111986684853
PAN,Panamá,2021,16.4671248604202,5.167495000518014
PAN,Panamá,2022,11.0385475261766,6.1286188774154065
PAN,Panamá,2023,7.16632946099945,6.152809221774221
SLV,El Salvador,2000,1.12790697674419,2.394514607418812
SLV,El Salvador,2002,1.57291844759789,2.4552849106070793
SLV,El Salvador,2003,1.56539303147618,2.3856718012441123
SLV,El Salvador,2004,0.889404485692197,2.573646043264742
SLV,El Salvador,2005,2.68083009363194,2.5895167178083627
SLV,El Salvador,2006,4.3369986028604,2.744358773081639
SLV,El Salvador,2007,1.84760220587859,2.873486925993128
SLV,El Salvador,2008,2.15440298282768,3.267508697431448
SLV,El Salvador,2009,-2.10876837627522,2.3017582794418727
SLV,El Salvador,2010,2.15419536693635,2.893807085575321
SLV,El Salvador,2011,3.77358499834686,3.5206395432936786
SLV,El Salvador,2012,2.88770010188691,3.418970940317352
SLV,El Salvador,2013,2.18295232499635,3.4319366233917803
SLV,El Salvador,2014,1.7293998423459,3.468126136722314
SLV,El Salvador,2015,2.40000008852115,3.373032515822552
SLV,El Salvador,2016,2.53906241135864,3.412680745385523
SLV,El Salvador,2017,2.24761908134138,3.513781226122709
SLV,El Salvador,2018,2.4124442237792,3.633704473998315
SLV,El Salvador,2019,2.43747159065784,3.6075101172830477
SLV,El Salvador,2020,-7.893101359867,3.010304529163892
SLV,El Salvador,2021,11.9047617015957,3.910194962448281
SLV,El Salvador,2022,2.95461516549889,4.812124177893554
SLV,El Salvador,2023,3.5391566928735,4.51067417765153
SLV,El Salvador,2024,2.60202016121069,4.318304342002558
