country_code,country_name,year,year_trend,control_corruption,political_stability,rule_of_law,homicide_rate_log,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita_log,inflation,population_log,tourist_arrivals_log,unemployment
COL,Colombia,2021,21,42.3947687,48.5602739,48.2391764,3.280163846716173,16.1970059548864,3.00175693787234,10.8011981904878,8.735946583102677,3.49505757399448,17.751019067232278,,13.898
COL,Colombia,2022,22,42.6648919,52.0722697,47.8491027,3.2561256601413504,20.3883679938331,4.97124137726565,7.32827729427979,8.806939891338876,10.1772313546166,17.76170199678534,,10.541
COL,Colombia,2023,23,41.6000941,52.2402416,47.2427231,3.254761831553529,17.8316784070298,4.58478761240549,0.712380031974334,8.853784935897595,11.7359044948689,17.77291128321944,,9.591
CRI,Costa Rica,2000,0,68.5921845,77.3356885,65.3048916,1.9910782105628315,42.9303221707385,4.81846449896273,3.86871808953644,8.246107010921255,10.9615496593622,15.18611725868665,14.060807696391924,5.08
CRI,Costa Rica,2002,2,57.143028,81.7856914,67.3024742,1.992001870435639,39.2245352070616,4.36202694033196,3.41687639041064,8.310837559663966,9.16752048509118,15.220554295828235,14.104442598879876,6.396
CRI,Costa Rica,2003,3,57.622973,76.1467767,66.5482031,2.1100319676399324,40.6717129184331,4.48353970316272,4.31717986636224,8.336426081241125,9.44758091616983,15.235912582850624,14.230266373481294,6.654
CRI,Costa Rica,2004,4,55.5280511,77.7265223,66.4836079,2.036865881879733,42.2076534629626,5.8231265333186,4.42459959654504,8.396383216374122,12.3148150178852,15.25061365450972,14.38705548141755,6.445
CRI,Costa Rica,2005,5,55.6495671,80.0237175,67.6124235,2.181722981983187,43.4645223606983,7.62843539507747,3.97666636818026,8.455957416676547,13.7982949108987,15.26507075570225,14.48794520739107,6.749
CRI,Costa Rica,2006,6,55.9348432,80.6908838,66.2066705,2.2107418577214824,43.3140351086932,7.92850433097117,7.3266954325067,8.567239025681252,11.4705968149052,15.279076097308,14.543542623236126,5.926
CRI,Costa Rica,2007,7,57.0957135,79.7853711,66.0464956,2.2432788871536506,40.5821375084213,8.33742597856098,8.21513198348715,8.722207313136439,9.35724456417157,15.292615901754287,14.649289302668736,4.557
CRI,Costa Rica,2008,8,57.7269153,75.7933293,66.4427462,2.528236488172563,38.8064606509756,7.90900698278232,4.73817487754022,8.844659656964371,13.4244635507283,15.306177546941482,14.694722696706926,4.934
