country_code,country_name,year,time_trend,rule_of_law,control_corruption,political_stability,homicide_rate,homicide_rate_log,homicide_rate_lag1,homicide_rate_lag2,homicide_rate_lag3,homicide_rate_log_lag1,homicide_rate_log_lag2,homicide_rate_log_lag3,population,population_log,gdp_per_capita,gdp_per_capita_log,gdp_growth,inflation,unemployment,exports_percent_gdp,trade_percent_gdp,fdi_percent_gdp,tourist_arrivals,tourist_arrivals_log
CRI,Costa Rica,2019,19,66.9617832,62.5292538,76.5896171,11.2610056078008,2.5064239506191037,11.7995456872358,12.2731177810203,11.8759050112518,2.5494096771109707,2.585740770334845,2.555357736215486,4999553.0,15.424859066401956,12884.6859951989,9.463794752995097,2.41751181762513,2.09604635327807,10.807,34.3253215593308,,4.22094016659811,3366000.0,15.029235950821377
CRI,Costa Rica,2020,20,67.8366858,63.1650182,81.6952443,11.3222838436969,2.5114093178486447,11.2610056078008,11.7995456872358,12.2731177810203,2.5064239506191037,2.5494096771109707,2.585740770334845,5034320.0,15.431789020396428,12394.0493969492,9.42497174906754,-4.27335432161462,0.724911478131375,16.432,31.9064976578059,,3.37043523313038,1146500.0,13.952225253499515
CRI,Costa Rica,2021,21,67.4710513,59.8166838,83.2688714,11.6205820666553,2.5353289786053423,11.3222838436969,11.2610056078008,11.7995456872358,2.5114093178486447,2.5064239506191037,2.5494096771109707,5059988.0,15.436874669719334,12838.1185358931,9.460174035034667,7.93576224743147,1.72647755109241,15.139,36.1763570269654,,5.53072986406838,,
CRI,Costa Rica,2022,22,68.4538686,59.3313828,85.4710022,12.908902016219,2.632529067968574,11.6205820666553,11.3222838436969,11.2610056078008,2.5353289786053423,2.5114093178486447,2.5064239506191037,5081765.0,15.441169200155919,13625.9008491328,9.519727734713333,4.55149177958398,8.27477490232654,11.325,42.4051961144394,,5.4175310653788,,
CRI,Costa Rica,2023,23,68.0333663,61.5697363,86.1234989,17.7454798727379,2.9309526498995653,12.908902016219,11.6205820666553,11.3222838436969,2.632529067968574,2.5353289786053423,2.5114093178486447,5105525.0,15.445833844645792,16942.0268119375,9.737552607562401,5.11192183224598,0.525193508693455,8.325,38.9156320351491,,5.4191807109794,,
DOM,República Dominicana,2000,0,44.6542196,36.7998081,63.6298001,14.0956805476114,2.714408646449352,,,,,,,8584190.0,15.965432697250883,2831.45883638033,7.948547347705056,4.65172550299128,7.72413566181615,6.432,35.4978251417642,,4.0689908919589,3161000.0,14.966399307553289
DOM,República Dominicana,2002,2,44.7024061,35.950275,63.162825,14.4483285859447,2.7375008153521434,14.0956805476114,,,2.714408646449352,,,8852235.0,15.996180527473536,3065.60329524196,8.027999662685266,4.48650367045651,5.22336769759446,6.779,30.724010155589,,3.41225986375611,3058000.0,14.93327199248221
DOM,República Dominicana,2003,3,43.3697194,30.5054317,55.718872,21.1789386478885,3.099143129013921,14.4483285859447,14.0956805476114,,2.7375008153521434,2.714408646449352,,8980620.0,16.01057948021133,2383.26171780393,7.776225298094603,-1.34935744782766,27.4497127394394,6.938,42.1529981602708,,2.88055489904245,3680000.0,15.118423581884207
DOM,República Dominicana,2004,4,46.0778597,33.3098417,58.1533844,24.5911758206467,3.2422475975587224,21.1789386478885,14.4483285859447,14.0956805476114,3.099143129013921,2.7375008153521434,2.714408646449352,9104892.0,16.024322409459,2451.69161616569,7.804533520861816,2.58556667449577,51.4608598338065,6.303,41.1474766418853,,4.18629057899448,3907000.0,15.178280629988032
DOM,República Dominicana,2005,5,47.322777,30.6147401,59.2115536,25.9511238657765,3.294024998369607,24.5911758206467,21.1789386478885,14.4483285859447,3.2422475975587224,3.099143129013921,2.7375008153521434,9225034.0,16.03743143352093,3878.31206735244,8.263155303774978,9.43178931977285,4.19020260472056,6.587,28.3311381514539,,3.12598170087694,3981000.0,15.19704385317559
